A	gBand	rBand	iBand	zBand	JBand	HBand	KBand
1072	0.00000	0.00000	0.00000	0.00279	0.00650	0.00010	0.02540
1073	0.00000	0.00000	0.00000	0.00249	0.00750	0.00010	0.02510
1074	0.00000	0.00000	0.00000	0.00229	0.00870	0.00020	0.02470
1075	0.00000	0.00000	0.00000	0.00199	0.01000	0.00030	0.02430
1076	0.00000	0.00000	0.00000	0.00169	0.01140	0.00040	0.02380
1077	0.00000	0.00000	0.00000	0.00149	0.01300	0.00040	0.02340
1078	0.00000	0.00000	0.00000	0.00139	0.01480	0.00050	0.02290
1079	0.00000	0.00000	0.00000	0.00119	0.01690	0.00060	0.02250
1080	0.00000	0.00000	0.00000	0.00109	0.01910	0.00070	0.02210
1081	0.00000	0.00000	0.00000	0.00089	0.02150	0.00090	0.02170
1082	0.00000	0.00000	0.00000	0.00079	0.02440	0.00100	0.02130
1083	0.00000	0.00000	0.00000	0.00069	0.02740	0.00110	0.02110
1084	0.00000	0.00000	0.00000	0.00049	0.03070	0.00120	0.02080
1085	0.00000	0.00000	0.00000	0.00049	0.03440	0.00140	0.02060
1086	0.00000	0.00000	0.00000	0.00039	0.03830	0.00150	0.02050
1087	0.00000	0.00000	0.00000	0.00029	0.04260	0.00170	0.02050
1088	0.00000	0.00000	0.00000	0.00020	0.04720	0.00190	0.02060
1089	0.00000	0.00000	0.00000	0.00020	0.05220	0.00220	0.02070
1090	0.00000	0.00000	0.00000	0.00019	0.05760	0.00240	0.02090
1091	0.00000	0.00000	0.00000	0.00010	0.06340	0.00270	0.02120
1092	0.00000	0.00000	0.00000	0.00010	0.06950	0.00310	0.02160
1093	0.00000	0.00000	0.00000	0.00010	0.07620	0.00350	0.02210
1094	0.00000	0.00000	0.00000	0.00010	0.08300	0.00400	0.02270
1095	0.00000	0.00000	0.00000	0.00000	0.09010	0.00460	0.02340
1096	0.00000	0.00000	0.00000	0.00000	0.09770	0.00540	0.02430
1097	0.00000	0.00000	0.00000	0.00000	0.10560	0.00650	0.02540
1098	0.00000	0.00000	0.00000	0.00000	0.11360	0.00780	0.02670
1099	0.00000	0.00000	0.00000	0.00000	0.12190	0.00950	0.02820
1100	0.00000	0.00000	0.00000	0.00000	0.13010	0.01180	0.03000
1101	0.00000	0.00000	0.00000	0.00000	0.13810	0.01480	0.03210
1102	0.00000	0.00000	0.00000	0.00000	0.14590	0.01880	0.03460
1103	0.00000	0.00000	0.00000	0.00000	0.15320	0.02380	0.03750
1104	0.00000	0.00000	0.00000	0.00000	0.15990	0.02960	0.04100
1105	0.00000	0.00000	0.00000	0.00000	0.16570	0.03580	0.04520
1106	0.00000	0.00000	0.00000	0.00000	0.17010	0.04130	0.05030
1107	0.00000	0.00000	0.00000	0.00000	0.17300	0.04500	0.05640
1108	0.00000	0.00000	0.00000	0.00000	0.17360	0.04600	0.06340
1109	0.00000	0.00000	0.00000	0.00000	0.17200	0.04400	0.07180
1110	0.00000	0.00000	0.00000	0.00000	0.16820	0.03980	0.08120
1111	0.00000	0.00000	0.00000	0.00000	0.16260	0.03450	0.09120
1112	0.00000	0.00000	0.00000	0.00000	0.15660	0.02880	0.10100
1113	0.00000	0.00000	0.00000	0.00000	0.15200	0.02340	0.10920
1114	0.00000	0.00000	0.00000	0.00000	0.15190	0.01850	0.11420
1115	0.00000	0.00000	0.00000	0.00000	0.15930	0.01400	0.11450
1116	0.00000	0.00000	0.00000	0.00000	0.17610	0.01030	0.10920
1117	0.00000	0.00000	0.00000	0.00000	0.20100	0.00720	0.09930
1118	0.00000	0.00000	0.00000	0.00000	0.23030	0.00500	0.08700
1119	0.00000	0.00000	0.00000	0.00000	0.26100	0.00340	0.07410
1120	0.00000	0.00000	0.00000	0.00000	0.29010	0.00230	0.06190
1121	0.00000	0.00000	0.00000	0.00000	0.31620	0.00150	0.05110
1122	0.00000	0.00000	0.00000	0.00000	0.33860	0.00100	0.04230
1123	0.00000	0.00000	0.00000	0.00000	0.35730	0.00070	0.03510
1124	0.00000	0.00000	0.00000	0.00000	0.37330	0.00040	0.02930
1125	0.00000	0.00000	0.00000	0.00000	0.38690	0.00030	0.02450
1126	0.00000	0.00000	0.00000	0.00000	0.39780	0.00020	0.02070
1127	0.00000	0.00000	0.00000	0.00000	0.40650	0.00020	0.01760
1128	0.00000	0.00000	0.00000	0.00000	0.41410	0.00010	0.01510
1129	0.00000	0.00000	0.00000	0.00000	0.42010	0.00010	0.01310
1130	0.00000	0.00000	0.00000	0.00000	0.42470	0.00010	0.01140
1131	0.00000	0.00000	0.00000	0.00000	0.42890	0.00000	0.01010
1132	-0.00008	0.00000	0.00000	0.00000	0.43230	0.00000	0.00900
1133	-0.00008	0.00000	0.00000	0.00000	0.43510	0.00000	0.00800
1134	-0.00008	0.00000	0.00000	0.00000	0.43760	0.00000	0.00710
1135	-0.00008	0.00000	0.00000	0.00000	0.43950	0.00000	0.00630
1136	-0.00008	0.00000	0.00000	0.00000	0.44070	0.00000	0.00570
1137	-0.00008	0.00000	0.00000	0.00000	0.44180	0.00000	0.00510
1138	-0.00008	0.00000	0.00000	0.00000	0.44260	0.00000	0.00460
1139	-0.00007	0.00000	0.00000	0.00000	0.44300	0.00000	0.00420
1140	-0.00007	0.00000	0.00000	0.00000	0.44350	0.00000	0.00380
1141	-0.00007	0.00000	0.00000	0.00000	0.44330	0.00000	0.00350
1142	-0.00007	0.00000	0.00000	0.00000	0.44310	0.00000	0.00320
1143	-0.00007	0.00000	0.00000	0.00000	0.44280	0.00000	0.00300
1144	-0.00007	0.00000	0.00000	0.00000	0.44240	0.00000	0.00270
1145	-0.00007	0.00000	0.00000	0.00000	0.44210	0.00000	0.00250
1146	-0.00007	0.00000	0.00000	0.00000	0.44200	0.00000	0.00230
1147	-0.00007	0.00000	0.00000	0.00000	0.44180	0.00000	0.00210
1148	-0.00007	0.00000	0.00000	0.00000	0.44170	0.00000	0.00190
1149	-0.00007	0.00000	0.00000	0.00000	0.44150	0.00000	0.00180
1150	-0.00007	0.00000	0.00000	0.00000	0.44150	0.00000	0.00170
1151	-0.00007	0.00000	0.00000	0.00000	0.44130	0.00000	0.00170
1152	-0.00007	0.00000	0.00000	0.00000	0.44100	0.00000	0.00150
1153	-0.00007	0.00000	0.00000	0.00000	0.44120	0.00000	0.00130
1154	-0.00007	0.00000	0.00000	0.00000	0.44130	0.00000	0.00110
1155	-0.00007	0.00000	0.00000	0.00000	0.44160	0.00000	0.00090
1156	-0.00007	0.00000	0.00000	0.00000	0.44160	0.00000	0.00100
1157	-0.00007	0.00000	0.00000	0.00000	0.44170	0.00000	0.00100
1158	-0.00007	0.00000	0.00000	0.00000	0.44180	0.00000	0.00100
1159	-0.00007	0.00000	0.00000	0.00000	0.44200	0.00000	0.00090
1160	-0.00007	0.00000	0.00000	0.00000	0.44260	0.00000	0.00080
1161	-0.00007	0.00000	0.00000	0.00000	0.44300	0.00000	0.00080
1162	-0.00007	0.00000	0.00000	0.00000	0.44360	0.00000	0.00070
1163	-0.00007	0.00000	0.00000	0.00000	0.44410	0.00000	0.00070
1164	-0.00007	0.00000	0.00000	0.00000	0.44460	0.00000	0.00060
1165	-0.00007	0.00000	0.00000	0.00000	0.44540	0.00000	0.00050
1166	-0.00007	0.00000	0.00000	0.00000	0.44610	0.00000	0.00050
1167	-0.00007	0.00000	0.00000	0.00000	0.44700	0.00000	0.00040
1168	-0.00007	0.00000	0.00000	0.00000	0.44780	0.00000	0.00040
1169	-0.00007	0.00000	0.00000	0.00000	0.44850	0.00000	0.00040
1170	0.00000	0.00000	0.00000	0.00000	0.44950	0.00000	0.00030
1171	0.00000	0.00000	0.00000	0.00000	0.45010	0.00000	0.00030
1172	0.00000	0.00000	0.00000	0.00000	0.45090	0.00000	0.00020
1173	0.00000	0.00000	0.00000	0.00000	0.45170	0.00000	0.00020
1174	0.00000	0.00000	0.00000	0.00000	0.45260	0.00000	0.00020
1175	0.00000	0.00000	0.00000	0.00000	0.45330	0.00000	0.00020
1176	0.00000	0.00000	0.00000	0.00000	0.45420	0.00000	0.00020
1177	0.00000	0.00000	0.00000	0.00000	0.45530	0.00000	0.00020
1178	0.00000	0.00000	0.00000	0.00000	0.45620	0.00000	0.00020
1179	0.00000	0.00000	0.00000	0.00000	0.45730	0.00000	0.00020
1180	0.00000	0.00000	0.00000	0.00000	0.45830	0.00000	0.00010
1181	0.00000	0.00000	0.00000	0.00000	0.45950	0.00000	0.00010
1182	0.00000	0.00000	0.00000	0.00000	0.46050	0.00000	0.00010
1183	0.00000	0.00000	0.00000	0.00000	0.46140	0.00000	0.00000
1184	0.00000	0.00000	0.00000	0.00000	0.46230	0.00000	0.00000
1185	0.00000	0.00000	0.00000	0.00000	0.46330	0.00000	0.00000
1186	0.00000	0.00000	0.00000	0.00000	0.46430	0.00000	0.00000
1187	0.00000	0.00000	0.00000	0.00000	0.46540	0.00000	0.00000
1188	0.00000	0.00000	0.00000	0.00000	0.46630	0.00000	0.00000
1189	0.00000	0.00000	0.00000	0.00000	0.46700	0.00000	0.00020
1190	0.00000	0.00000	0.00000	0.00000	0.46790	0.00000	0.00020
1191	0.00000	0.00000	0.00000	0.00000	0.46910	0.00000	0.00020
1192	0.00000	0.00000	0.00000	0.00000	0.47020	0.00000	0.00020
1193	0.00000	0.00000	0.00000	0.00000	0.47130	0.00000	0.00020
1194	0.00000	0.00000	0.00000	0.00000	0.47250	0.00000	0.00020
1195	0.00000	0.00000	0.00000	0.00000	0.47350	0.00000	0.00020
1196	0.00000	0.00000	0.00000	0.00000	0.47450	0.00000	0.00020
1197	0.00000	0.00000	0.00000	0.00000	0.47580	0.00000	0.00020
1198	0.00000	0.00000	0.00000	0.00000	0.47700	0.00000	0.00020
1199	0.00000	0.00000	0.00000	0.00000	0.47790	0.00000	0.00020
1200	0.00000	0.00000	0.00000	0.00000	0.47890	0.00000	0.00020
1201	0.00000	0.00000	0.00000	0.00000	0.47980	0.00000	0.00020
1202	0.00000	0.00000	0.00000	0.00000	0.48060	0.00000	0.00010
1203	0.00000	0.00000	0.00000	0.00000	0.48170	0.00000	0.00010
1204	0.00000	0.00000	0.00000	0.00000	0.48250	0.00000	0.00010
1205	0.00000	0.00000	0.00000	0.00000	0.48340	0.00000	0.00010
1206	0.00000	0.00000	0.00000	0.00000	0.48430	0.00000	0.00010
1207	0.00000	0.00000	0.00000	0.00000	0.48520	0.00000	0.00010
1208	0.00000	0.00000	0.00000	0.00000	0.48620	0.00000	0.00010
1209	0.00000	0.00000	0.00000	0.00000	0.48700	0.00000	0.00010
1210	0.00000	0.00000	0.00000	0.00000	0.48790	0.00000	0.00010
1211	0.00000	0.00000	0.00000	0.00000	0.48850	0.00000	0.00010
1212	0.00000	0.00000	0.00000	0.00000	0.48950	0.00000	0.00010
1213	0.00000	0.00000	0.00000	0.00000	0.49030	0.00000	0.00010
1214	0.00000	0.00000	0.00000	0.00000	0.49110	0.00000	0.00010
1215	0.00000	0.00000	0.00000	0.00000	0.49200	0.00000	0.00010
1216	0.00000	0.00000	0.00000	0.00000	0.49300	0.00000	0.00010
