# Redshift  MKO->GROND  MMT->GROND  VISTA->GROND  SUBARU->GROND  UKIRT->GROND  FourStar->GROND  SOFI->GROND
6.44  -0.014445  -0.019851  -0.020313  -0.028493  -0.019566  0.065682  0.032202
6.45  -0.011142  -0.017217  -0.016908  -0.026359  -0.016500  0.066173  0.031771
6.46  -0.007313  -0.014218  -0.013068  -0.023941  -0.013060  0.066629  0.031363
6.47  -0.002893  -0.010835  -0.008768  -0.021186  -0.009215  0.067063  0.030983
6.48  0.002167  -0.007064  -0.003970  -0.018020  -0.004933  0.067483  0.030626
6.49  0.007880  -0.002909  0.001322  -0.014364  -0.000200  0.067888  0.030285
6.50  0.014227  0.001615  0.007066  -0.010142  0.004916  0.068265  0.029967
6.51  0.021138  0.006490  0.013182  -0.005287  0.010405  0.068599  0.029675
6.52  0.028479  0.011695  0.019569  0.000239  0.016258  0.068871  0.029397
6.53  0.036038  0.017206  0.026046  0.006427  0.022330  0.069065  0.029143
6.54  0.043540  0.022993  0.032422  0.013222  0.028500  0.069170  0.028931
6.55  0.050678  0.029015  0.038508  0.020474  0.034661  0.069180  0.028758
6.56  0.057183  0.035218  0.044113  0.027949  0.040656  0.069104  0.028604
6.57  0.062891  0.041522  0.049108  0.035397  0.046349  0.068956  0.028463
6.58  0.067724  0.047825  0.053421  0.042536  0.051628  0.068758  0.028343
6.59  0.071736  0.054005  0.057054  0.049155  0.056454  0.068535  0.028252
6.60  0.075052  0.059925  0.060064  0.055142  0.060803  0.068314  0.028182
6.61  0.077833  0.065459  0.062542  0.060447  0.064663  0.068119  0.028109
6.62  0.080240  0.070506  0.064606  0.065090  0.068038  0.067967  0.028054
6.63  0.082370  0.075004  0.066344  0.069071  0.070945  0.067862  0.028030
6.64  0.084288  0.078936  0.067866  0.072408  0.073561  0.067798  0.028011
6.65  0.086020  0.082322  0.069209  0.075136  0.075821  0.067765  0.028023
6.66  0.087582  0.085216  0.070457  0.077342  0.077791  0.067748  0.028053
6.67  0.088966  0.087686  0.071644  0.079163  0.079531  0.067731  0.028100
6.68  0.090190  0.089800  0.072768  0.080741  0.081040  0.067700  0.028179
6.69  0.091266  0.091615  0.073882  0.082198  0.082376  0.067632  0.028267
6.70  0.092241  0.093177  0.074948  0.083597  0.083475  0.067514  0.028387
6.71  0.093117  0.094526  0.076006  0.084955  0.084449  0.067337  0.028524
6.72  0.093927  0.095693  0.077022  0.086247  0.085318  0.067101  0.028663
6.73  0.094681  0.096703  0.078026  0.087431  0.086100  0.066809  0.028848
6.74  0.095411  0.097576  0.078999  0.088474  0.086802  0.066466  0.029052
6.75  0.096111  0.098329  0.079938  0.089363  0.087486  0.066084  0.029263
6.76  0.096763  0.098973  0.080833  0.090114  0.088171  0.065668  0.029497
6.77  0.097344  0.099524  0.081666  0.090754  0.088833  0.065236  0.029722
6.78  0.097826  0.099992  0.082431  0.091304  0.089480  0.064785  0.029988
6.79  0.098200  0.100387  0.083133  0.091777  0.090117  0.064328  0.030266
6.80  0.098423  0.100716  0.083764  0.092182  0.090799  0.063862  0.030565
6.81  0.098497  0.100984  0.084323  0.092530  0.091492  0.063397  0.030901
6.82  0.098417  0.101192  0.084793  0.092836  0.092183  0.062933  0.031224
6.83  0.098204  0.101336  0.085182  0.093103  0.092838  0.062476  0.031582
6.84  0.097870  0.101416  0.085493  0.093332  0.093416  0.062028  0.031925
6.85  0.097445  0.101427  0.085730  0.093519  0.093893  0.061590  0.032308
6.86  0.096952  0.101360  0.085909  0.093647  0.094326  0.061163  0.032621
6.87  0.096412  0.101214  0.086034  0.093693  0.094623  0.060756  0.032946
6.88  0.095844  0.100984  0.086099  0.093639  0.094769  0.060372  0.033205
6.89  0.095260  0.100666  0.086103  0.093465  0.094804  0.060018  0.033445
6.90  0.094673  0.100256  0.086044  0.093164  0.094656  0.059697  0.033575
6.91  0.094063  0.099747  0.085930  0.092734  0.094332  0.059408  0.033682
6.92  0.093421  0.099134  0.085740  0.092187  0.093906  0.059156  0.033670
6.93  0.092699  0.098405  0.085450  0.091527  0.093329  0.058941  0.033568
6.94  0.091909  0.097558  0.085057  0.090776  0.092573  0.058766  0.033374
6.95  0.091044  0.096589  0.084539  0.089953  0.091641  0.058639  0.033073
6.96  0.090062  0.095506  0.083916  0.089070  0.090621  0.058568  0.032686
6.97  0.088983  0.094320  0.083168  0.088129  0.089558  0.058566  0.032211
6.98  0.087834  0.093045  0.082297  0.087128  0.088495  0.058647  0.031712
6.99  0.086643  0.091701  0.081319  0.086059  0.087364  0.058823  0.031154
7.00  0.085395  0.090301  0.080243  0.084895  0.086234  0.059094  0.030570
7.01  0.084135  0.088871  0.079071  0.083636  0.085099  0.059461  0.030009
7.02  0.082909  0.087424  0.077811  0.082294  0.083979  0.059911  0.029465
7.03  0.081711  0.085987  0.076483  0.080890  0.082919  0.060434  0.028946
7.04  0.080575  0.084572  0.075108  0.079440  0.081895  0.061007  0.028497
7.05  0.079536  0.083196  0.073704  0.078010  0.080936  0.061620  0.028111
7.06  0.078566  0.081868  0.072261  0.076664  0.080022  0.062242  0.027821
7.07  0.077680  0.080597  0.070808  0.075452  0.079070  0.062863  0.027628
7.08  0.076899  0.079394  0.069337  0.074398  0.078142  0.063453  0.027510
7.09  0.076202  0.078272  0.067866  0.073516  0.077271  0.063996  0.027507
7.10  0.075632  0.077240  0.066387  0.072783  0.076390  0.064459  0.027585
7.11  0.075198  0.076307  0.064917  0.072171  0.075527  0.064833  0.027745
7.12  0.074887  0.075479  0.063468  0.071657  0.074628  0.065106  0.027955
7.13  0.074691  0.074761  0.062047  0.071206  0.073765  0.065289  0.028223
7.14  0.074601  0.074153  0.060680  0.070778  0.072959  0.065391  0.028543
7.15  0.074604  0.073658  0.059390  0.070346  0.072252  0.065437  0.028912
7.16  0.074675  0.073274  0.058221  0.069887  0.071668  0.065442  0.029305
7.17  0.074818  0.073004  0.057182  0.069398  0.071166  0.065432  0.029741
7.18  0.075020  0.072846  0.056330  0.068898  0.070988  0.065418  0.030232
7.19  0.075273  0.072796  0.055733  0.068414  0.071034  0.065413  0.030762
7.20  0.075578  0.072846  0.055365  0.067964  0.071233  0.065415  0.031319
7.21  0.075927  0.072991  0.055246  0.067565  0.071847  0.065422  0.031927
7.22  0.076313  0.073225  0.055412  0.067227  0.072659  0.065421  0.032550
7.23  0.076769  0.073540  0.055809  0.066963  0.073471  0.065407  0.033220
7.24  0.077287  0.073937  0.056416  0.066777  0.074671  0.065377  0.033876
7.25  0.077870  0.074418  0.057228  0.066672  0.075873  0.065335  0.034583
7.26  0.078540  0.074980  0.058231  0.066641  0.076995  0.065281  0.035264
7.27  0.079308  0.075620  0.059410  0.066680  0.078359  0.065222  0.035952
7.28  0.080158  0.076334  0.060776  0.066790  0.079680  0.065158  0.036628
7.29  0.081095  0.077118  0.062288  0.066973  0.080906  0.065085  0.037290
7.30  0.082086  0.077963  0.063914  0.067246  0.082244  0.064997  0.037922
7.31  0.083111  0.078855  0.065632  0.067622  0.083439  0.064877  0.038520
7.32  0.084134  0.079793  0.067386  0.068118  0.084587  0.064721  0.039086
7.33  0.085104  0.080756  0.069131  0.068744  0.085658  0.064528  0.039602
7.34  0.085994  0.081736  0.070830  0.069494  0.086557  0.064305  0.040051
7.35  0.086772  0.082718  0.072449  0.070359  0.087389  0.064063  0.040490
7.36  0.087428  0.083688  0.073956  0.071318  0.088014  0.063821  0.040872
7.37  0.087925  0.084620  0.075335  0.072358  0.088529  0.063601  0.041243
7.38  0.088253  0.085497  0.076566  0.073461  0.088920  0.063411  0.041609
7.39  0.088411  0.086291  0.077638  0.074603  0.089105  0.063270  0.041977
7.40  0.088359  0.086969  0.078538  0.075737  0.089175  0.063185  0.042349
7.41  0.088090  0.087500  0.079252  0.076810  0.089054  0.063151  0.042722
